id_number,Nat,Edad,coding
1848,arg,70,A_1954_LOWER
4017,uruguay,72,U_1952_UPPER
559,arg,35,A_1989_LOWER
2296,Brasil,45,B_1979_UPPER
3335,uruguay,76,U_1948_MID
2248,BRA,39,B_1985_UPPER
4555,Brasil,46,B_1978_UPPER
625,Paraguay,37,P_1987_LOWER
1389,México,77,M_1947_LOWER
1048,Brasil,-1,B_X_LOWER
649,MEX,73,M_1951_MID
1072,México,-1,M_X_LOWER
1928,arg,37,A_1987_LOWER
2151,Mexico,-1,M_X_LOWER
1584,BRA,30,B_1994_LOWER
2367,chile,64,C_1960_MID
1657,CH,62,C_1962_MID
937,uruguay,43,U_1981_MID
4154,México,-1,M_X_LOWER
2030,uruguay,34,U_1990_MID
2508,arg,69,A_1955_UPPER
3934,uruguay,-1,U_X_UPPER
1982,URU,45,U_1979_LOWER
3223,BRA,29,B_1995_LOWER
3427,MEX,74,M_1950_UPPER
26,chile,52,C_1972_UPPER
4797,BRA,62,B_1962_UPPER
754,chile,80,C_1944_UPPER
668,México,77,M_1947_MID
2044,argentina,71,A_1953_MID
4143,PAR,79,P_1945_UPPER
1764,Argentina,77,A_1947_LOWER
3319,México,60,M_1964_UPPER
2649,Chile,40,C_1984_MID
3683,Brazil,66,B_1958_UPPER
3640,BRA,58,B_1966_LOWER
3037,Chile,76,C_1948_UPPER
3353,URU,-1,U_X_LOWER
2117,Mexico,44,M_1980_LOWER
2125,Uruguay,38,U_1986_LOWER
425,CH,50,C_1974_UPPER
2192,CH,64,C_1960_LOWER
1254,URU,71,U_1953_UPPER
4221,Uruguay,43,U_1981_MID
2516,Uruguay,49,U_1975_MID
3999,chile,75,C_1949_UPPER
3967,,45,X_1979_UPPER
3019,Chile,40,C_1984_LOWER
2540,BRA,63,B_1961_LOWER
524,Argentina,55,A_1969_UPPER
3289,MEX,37,M_1987_MID
1716,Uruguay,50,U_1974_MID
2920,Uruguay,53,U_1971_MID
3071,Uruguay,68,U_1956_MID
4151,Brazil,76,B_1948_UPPER
4502,URU,31,U_1993_LOWER
4609,Brasil,51,B_1973_UPPER
4373,Brazil,-1,B_X_LOWER
2220,Mexico,37,M_1987_UPPER
3269,Argentina,47,A_1977_MID
3276,PAR,-1,P_X_LOWER
597,MEX,38,M_1986_MID
1896,argentina,46,A_1978_LOWER
4994,uruguay,35,U_1989_UPPER
285,Brasil,60,B_1964_UPPER
2204,Paraguay,74,P_1950_LOWER
1639,México,39,M_1985_UPPER
3926,CH,70,C_1954_UPPER
3888,URU,60,U_1964_LOWER
1518,CH,-1,C_X_MID
2544,Uruguay,31,U_1993_MID
1548,Brasil,59,B_1965_UPPER
1412,CH,36,C_1988_UPPER
1439,Chile,-1,C_X_LOWER
275,,54,X_1970_LOWER
823,BRA,43,B_1981_LOWER
989,Brazil,56,B_1968_LOWER
3049,BRA,36,B_1988_LOWER
3134,chile,77,C_1947_MID
3109,Uruguay,50,U_1974_LOWER
3689,Mexico,46,M_1978_MID
1039,Brasil,-1,B_X_LOWER
1935,,-1,X_X_UPPER
360,uruguay,56,U_1968_MID
4342,Brazil,59,B_1965_LOWER
3286,México,-1,M_X_LOWER
1011,Brazil,75,B_1949_UPPER
3705,,48,X_1976_MID
3190,uruguay,44,U_1980_MID
2589,arg,-1,A_X_UPPER
3455,Paraguay,33,P_1991_LOWER
4059,,68,X_1956_UPPER
1202,Chile,60,C_1964_LOWER
4651,Argentina,49,A_1975_LOWER
4872,chile,77,C_1947_UPPER
3352,argentina,79,A_1945_UPPER
4340,arg,-1,A_X_LOWER
2862,MEX,-1,M_X_LOWER
4314,,72,X_1952_UPPER
322,uruguay,39,U_1985_LOWER
4746,argentina,41,A_1983_MID
3913,Argentina,67,A_1957_UPPER
4284,URU,39,U_1985_UPPER
1200,CH,-1,C_X_MID
1226,URU,63,U_1961_LOWER
3843,arg,34,A_1990_LOWER
3715,Paraguay,56,P_1968_LOWER
4995,Mexico,-1,M_X_LOWER
2739,uruguay,32,U_1992_UPPER
1993,argentina,36,A_1988_UPPER
4668,,68,X_1956_UPPER
539,Brazil,43,B_1981_UPPER
3591,CH,85,C_1939_LOWER
546,arg,80,A_1944_LOWER
2947,México,79,M_1945_LOWER
926,Chile,80,C_1944_UPPER
523,Mexico,68,M_1956_UPPER
915,,66,X_1958_UPPER
3838,Chile,37,C_1987_LOWER
3156,Chile,-1,C_X_LOWER
4307,uruguay,45,U_1979_MID
2924,chile,53,C_1971_LOWER
2088,MEX,74,M_1950_LOWER
3098,Brazil,-1,B_X_LOWER
2786,Paraguay,56,P_1968_MID
4821,Paraguay,28,P_1996_LOWER
9,PAR,32,P_1992_LOWER
3545,Chile,76,C_1948_LOWER
3292,arg,58,A_1966_LOWER
3188,México,57,M_1967_LOWER
3983,México,58,M_1966_MID
1979,chile,79,C_1945_UPPER
4033,Chile,68,C_1956_UPPER
3235,Brasil,36,B_1988_UPPER
2013,uruguay,59,U_1965_LOWER
3868,CH,62,C_1962_LOWER
615,Brazil,52,B_1972_LOWER
4527,BRA,43,B_1981_MID
1608,BRA,62,B_1962_UPPER
2960,Paraguay,-1,P_X_MID
191,URU,51,U_1973_UPPER
243,arg,45,A_1979_LOWER
862,MEX,31,M_1993_UPPER
1664,Uruguay,33,U_1991_MID
1166,Uruguay,25,U_1999_MID
3084,México,53,M_1971_UPPER
1609,Brasil,54,B_1970_UPPER
364,Paraguay,67,P_1957_LOWER
2627,Uruguay,26,U_1998_MID
693,Mexico,75,M_1949_UPPER
678,Mexico,52,M_1972_UPPER
2201,Uruguay,62,U_1962_MID
1954,Argentina,50,A_1974_MID
4937,México,41,M_1983_MID
2366,México,-1,M_X_UPPER
4622,uruguay,36,U_1988_LOWER
4638,Mexico,47,M_1977_MID
930,Brasil,69,B_1955_UPPER
94,URU,-1,U_X_LOWER
925,Brasil,45,B_1979_UPPER
2513,Uruguay,54,U_1970_MID
4870,chile,59,C_1965_MID
4335,Brazil,66,B_1958_UPPER
831,argentina,40,A_1984_MID
990,Uruguay,35,U_1989_MID
3409,PAR,34,P_1990_LOWER
1263,Chile,86,C_1938_UPPER
2103,Uruguay,47,U_1977_MID
2922,URU,43,U_1981_UPPER
2869,CH,58,C_1966_MID
3830,Argentina,-1,A_X_LOWER
1987,argentina,83,A_1941_UPPER
981,Paraguay,38,P_1986_MID
1151,MEX,64,M_1960_UPPER
3942,PAR,-1,P_X_MID
3873,Brasil,-1,B_X_LOWER
3213,uruguay,-1,U_X_LOWER
1874,CH,38,C_1986_MID
2041,BRA,79,B_1945_UPPER
4530,México,49,M_1975_LOWER
3696,Mexico,65,M_1959_UPPER
2461,chile,37,C_1987_MID
185,,69,X_1955_UPPER
834,argentina,74,A_1950_MID
1004,argentina,40,A_1984_MID
4032,México,63,M_1961_LOWER
3260,Chile,49,C_1975_LOWER
3245,Brasil,74,B_1950_UPPER
4550,MEX,-1,M_X_LOWER
1050,uruguay,-1,U_X_LOWER
3166,Paraguay,44,P_1980_LOWER
15,Uruguay,45,U_1979_MID
3186,Chile,42,C_1982_MID
4701,BRA,78,B_1946_UPPER
3833,México,28,M_1996_LOWER
3337,Brazil,37,B_1987_LOWER
1179,argentina,66,A_1958_MID
3677,uruguay,69,U_1955_UPPER
1414,México,39,M_1985_MID
4932,México,-1,M_X_MID
3003,Brazil,36,B_1988_LOWER
952,Argentina,57,A_1967_LOWER
2261,Brazil,56,B_1968_LOWER
1109,CH,62,C_1962_LOWER
3274,Brasil,32,B_1992_LOWER
4072,MEX,64,M_1960_LOWER
3577,PAR,60,P_1964_LOWER
1079,Uruguay,-1,U_X_MID
132,Brazil,-1,B_X_MID
4505,Paraguay,-1,P_X_LOWER
550,,46,X_1978_LOWER
2661,Chile,-1,C_X_MID
1496,Argentina,54,A_1970_LOWER
684,MEX,72,M_1952_UPPER
777,uruguay,65,U_1959_MID
2263,BRA,47,B_1977_LOWER
2001,URU,61,U_1963_MID
3013,Argentina,84,A_1940_UPPER
3287,Brazil,73,B_1951_UPPER
4876,México,42,M_1982_MID
4073,BRA,75,B_1949_UPPER
4246,chile,55,C_1969_UPPER
362,,48,X_1976_MID
4965,Argentina,-1,A_X_LOWER
2602,chile,54,C_1970_UPPER
2092,Mexico,-1,M_X_LOWER
4467,MEX,51,M_1973_LOWER
4923,CH,-1,C_X_UPPER
4858,Mexico,-1,M_X_LOWER
2135,BRA,40,B_1984_UPPER
4115,Mexico,-1,M_X_MID
2187,argentina,-1,A_X_MID
4653,,74,X_1950_UPPER
2085,Chile,69,C_1955_UPPER
397,arg,77,A_1947_UPPER
629,argentina,70,A_1954_UPPER
361,MEX,-1,M_X_LOWER
2152,Argentina,77,A_1947_UPPER
4242,URU,72,U_1952_UPPER
943,México,34,M_1990_LOWER
320,,66,X_1958_UPPER
4185,Argentina,40,A_1984_LOWER
530,Mexico,57,M_1967_LOWER
4891,Argentina,52,A_1972_LOWER
4765,Brazil,25,B_1999_LOWER
2560,uruguay,76,U_1948_LOWER
1918,uruguay,52,U_1972_MID
4910,CH,48,C_1976_LOWER
1353,Paraguay,52,P_1972_LOWER
3598,Uruguay,19,U_2005_MID
3900,Mexico,79,M_1945_LOWER
4237,MEX,-1,M_X_LOWER
2634,chile,77,C_1947_UPPER
2024,,72,X_1952_UPPER
4122,Argentina,66,A_1958_LOWER
884,Mexico,-1,M_X_MID
2455,PAR,51,P_1973_MID
3123,argentina,49,A_1975_UPPER
4065,BRA,78,B_1946_MID
2253,BRA,68,B_1956_UPPER
4656,Brasil,74,B_1950_UPPER
3979,Argentina,81,A_1943_LOWER
4416,PAR,75,P_1949_UPPER
564,Uruguay,48,U_1976_MID
30,BRA,73,B_1951_LOWER
1544,Chile,59,C_1965_LOWER
2198,MEX,42,M_1982_LOWER
938,chile,68,C_1956_UPPER
2995,URU,77,U_1947_MID
2896,Paraguay,-1,P_X_LOWER
1225,uruguay,-1,U_X_LOWER
1309,Brasil,36,B_1988_LOWER
2038,uruguay,-1,U_X_LOWER
731,CH,36,C_1988_UPPER
2345,,39,X_1985_LOWER
1683,Brasil,72,B_1952_UPPER
2107,uruguay,52,U_1972_LOWER
4699,arg,-1,A_X_LOWER
723,Uruguay,26,U_1998_MID
1270,Paraguay,41,P_1983_MID
815,Chile,46,C_1978_LOWER
1046,Brazil,34,B_1990_LOWER
1244,,30,X_1994_MID
3463,argentina,61,A_1963_UPPER
3077,Paraguay,52,P_1972_MID
1783,Chile,85,C_1939_UPPER
4160,arg,71,A_1953_LOWER
3734,Chile,81,C_1943_UPPER
2615,Argentina,-1,A_X_LOWER
816,Paraguay,75,P_1949_LOWER
3553,MEX,40,M_1984_LOWER
4464,arg,59,A_1965_LOWER
2870,Mexico,32,M_1992_LOWER
1723,chile,38,C_1986_MID
3321,Brazil,39,B_1985_MID
2833,Uruguay,-1,U_X_MID
143,Uruguay,23,U_2001_MID
507,Uruguay,35,U_1989_LOWER
3749,MEX,65,M_1959_MID
